Output,Output Tone/NAC,Channel Name,Mode,Comments
164.55,,OCDETF,FMN,
164.5500,167.9,OCDETF repeater,FMN,FBI
164.5500,167.9,OCDETF simplex,FMN,FBI
162.8500,$243,R162.85,P25,
416.4875,173.8,Remote Link for 163.675 (031 DPL),FMN,
164.4000,$001,SS PAPA,P25,
162.95,156.7,TAC 01,FMN,
165.2375,100.0,TAC 01,FMN,still some Analog use
169.45,100.0,TAC 02,FMN,Ch. A5
165.6875,100.0,TAC 03,FMN,
165.4625,100.0,TAC 05,FMN,
165.4875,100.0,TAC 06,FMN,
163.125,100.0,TAC 07,FMN,A-05
165.2375,100.0,TAC 1,FMN,
165.4125,100.0,TAC 10,FMN,
162.05,100.0,TAC 12,FMN,B-07
163.25,,TAC 16,FMN,
170.675,,TAC 170.675,FMN,Tactical
169.55,100.0,TAC 19,FMN,
169.45,100.0,TAC 2,FMN,
164.9625,,TAC 21,FMN,
166.125,,TAC 24,FMN,
165.7375,100.0,TAC 26,FMN,OTAR?
169.4125,,TAC 34,FMN,
163.3,,TAC 36,FMN,
164.6,100.0,TAC 4,FMN,
163.125,100.0,TAC 7,FMN,
165.2375,,Tactical 1 Analog (Net 1),FMN,
165.2375,,Tactical 1 Digital (Net 1),P25,
169.45,,Tactical 2 Analog (Net 2),FMN,
169.45,,Tactical 2 Digital (Net 2),P25,
165.6875,,Tactical 3 Analog (Net 4),FMN,
165.6875,,Tactical 3 Digital (Net 4),P25,
164.6,,Tactical 4 Analog (Net 5),FMN,
164.6,,Tactical 4 Digital (Net 5),P25,
165.4625,,Tactical 5 Analog,FMN,
165.4625,,Tactical 5 Digital,P25,
165.4875,,Tactical 6 Analog,FMN,
165.4875,,Tactical 6 Digital,FMN,
170.7500,$293,US Marshals Service Federal Courthouse,P25,
150.70000,,USCG Aux Rpt,FMN,Repeater
143.47500,,USCG Aux Sim,FMN,"Nationwide Simplex ""Yankee 3"""
138.47500,,USCG AuxTac1,FMN,Tactical 1
142.82500,,USCG AuxTac2,FMN,Tactical 2
139.97500,$293,USCG NET 101,P25,USCG NET 101
140.47500,$293,USCG NET 102,P25,USCG NET 102
140.72500,$293,USCG NET 103,P25,USCG NET 103
141.61250,$293,USCG NET 104,P25,USCG NET 104
150.72500,$293,USCG NET 105,P25,USCG NET 105
141.55000,$293,USCG NET 106,P25,USCG NET 106
150.30000,$293,USCG NET 107,P25,USCG NET 107
162.05000,$293,USCG NET 108,P25,USCG NET 108
162.12500,$293,USCG NET 109,P25,USCG NET 109
162.25000,$293,USCG NET 110,P25,USCG NET 110
162.32500,$293,USCG NET 111,P25,USCG NET 111
163.05000,$293,USCG NET 112,P25,USCG NET 112
163.13750,$293,USCG NET 113,P25,USCG NET 113
164.30000,$293,USCG NET 114,P25,USCG NET 114
164.31250,$293,USCG NET 115,P25,USCG NET 115
164.55000,$293,USCG NET 116,P25,USCG NET 116
164.56250,$293,USCG NET 117,P25,USCG NET 117
164.90000,$293,USCG NET 118,P25,USCG NET 118
164.91250,$293,USCG NET 119,P25,USCG NET 119
165.26250,$293,USCG NET 120,P25,USCG NET 120
165.31250,$293,USCG NET 121,P25,USCG NET 121
165.32500,$293,USCG NET 122,P25,USCG NET 122
165.33750,$293,USCG NET 123,P25,USCG NET 123
166.18750,$293,USCG NET 124,P25,USCG NET 124
167.90000,$293,USCG NET 125,P25,USCG NET 125
168.86250,$293,USCG NET 126,P25,USCG NET 126
171.23750,$293,USCG NET 127,P25,USCG NET 127
172.31250,$293,USCG NET 128,P25,USCG NET 128
165.27500,$293,USCG NET 129,P25,USCG NET 129
171.21250,$293,USCG NET 130,P25,USCG NET 130
171.31250,$293,USCG NET 131,P25,USCG NET 131
